Date,Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
2011-06-29,204.17999267578125,1.8299865722656534,0.0,2.1457138061523398,0.9935716901506656,2.159596360708469,68.35038764964989
2011-06-30,204.4900054931641,0.3100128173828409,0.0,2.051429748535154,0.9935716901506656,2.064702294631678,67.37040326064748
2011-07-01,209.4900054931641,5.0,0.0,2.4085726056780112,0.7685721261160674,3.133827683615833,75.80934483642272
2011-07-05,213.19000244140625,3.699996948242159,0.0,2.672858101981023,0.7514288766043487,3.557034052323715,78.05590240235134
2011-07-06,214.19000244140625,1.0,0.0,2.482142857142853,0.7514288766043487,3.30323059763084,76.76164506381429
2011-07-07,216.7400054931641,2.550003051757841,0.0,2.664285932268413,0.4671423775809091,5.70337023599825,85.08213085665733
2011-07-08,218.27999877929688,1.539993286132784,0.0,2.774285452706469,0.3007136753627212,9.225671061883443,90.2206907111697
2011-07-11,212.5500030517578,0.0,-5.7299957275390625,2.5799996512276766,0.7099990844726543,3.63380701137657,78.41947242203061
2011-07-12,211.22999572753903,0.0,-1.3200073242187784,2.4835706438337035,0.8042853219168526,3.087922377987219,75.53769598501103
2011-07-13,213.5,2.270004272460966,0.0,2.1807141985212075,0.8042853219168526,2.7113688875036446,73.05576378120085
2011-07-14,210.3800048828125,0.0,-3.1199951171875,2.1807141985212075,0.8414284842354931,2.5916809798785994,72.15788357590154
2011-07-15,212.8699951171875,2.489990234375,0.0,2.177856445312502,0.8414284842354931,2.5882846684127454,72.13153101249507
2011-07-18,211.52999877929688,0.0,-1.339996337890625,2.177856445312502,0.8221424647739975,2.649001284602399,72.59524121792789
2011-07-19,218.05999755859372,6.529998779296847,0.0,2.0228565761021207,0.8221424647739975,2.460469642154043,71.10218833251984
2011-07-20,215.5500030517578,0.0,-2.509994506835909,1.9442847115652921,1.0014277866908483,1.9415126456497198,66.00388573957258
2011-07-21,213.2100067138672,0.0,-2.339996337890625,1.8135713849748885,1.1685703822544642,1.5519573425060254,60.81439202200775
2011-07-22,216.5200042724609,3.3099975585937216,0.0,2.027856009347094,1.1685703822544642,1.7353306571358187,63.44134858463123
2011-07-25,213.4900054931641,0.0,-3.029998779296818,1.670713152204237,1.3849988664899513,1.2062920718761172,54.67508528235559
2011-07-26,214.17999267578125,0.6899871826171591,0.0,1.455712454659594,1.3849988664899513,1.0510567841465854,51.24464579774737
2011-07-27,222.5200042724609,8.340011596679659,0.0,1.9799989972795697,1.3849988664899513,1.4296033341150287,58.841017957186615
2011-07-28,223.8999938964844,1.3799896240234943,0.0,1.8964266095842592,1.3849988664899513,1.3692622105824797,57.79276791173943
2011-07-29,222.5200042724609,0.0,-1.3799896240234943,1.7864270891462033,1.483569553920201,1.204141109815666,54.63085391644318
2011-08-01,221.32000732421875,0.0,-1.199996948242159,1.7864270891462033,1.1599982125418506,1.5400257257566698,60.6303200058298
2011-08-02,211.6999969482422,0.0,-9.620010375976562,1.7864270891462033,1.7528555733816924,1.0191524711301474,50.474270056471454
2011-08-03,209.9600067138672,0.0,-1.739990234375,1.6242839268275628,1.8771405901227638,0.865296896446811,46.389231553170326
2011-08-04,201.47999572753903,0.0,-8.480010986328153,1.6242839268275628,2.2599988664899535,0.7187100626073625,41.81682985651729
2011-08-05,202.6999969482422,1.2200012207031534,0.0,1.5335704258510023,2.2599988664899535,0.6785713252293879,40.4255282471632
2011-08-08,193.6999969482422,0.0,-9.0,1.5335704258510023,2.8071419852120516,0.5463102450570047,35.32992469029816
2011-08-09,205.08999633789062,11.389999389648438,0.0,1.8807133265904017,2.8071419852120516,0.6699744211364972,40.11884329824331
2011-08-10,194.1300048828125,0.0,-10.959991455078125,1.8807133265904017,3.4107131958007812,0.5514135075637282,35.542652224914804
2011-08-11,198.3600006103516,4.229995727539091,0.0,2.1828558785574796,3.2435706002371654,0.6729793020068292,40.226397373808155
2011-08-12,202.3000030517578,3.9400024414062216,0.0,2.2278562273298013,3.2435706002371654,0.6868530092013115,40.71801191062412
