Date,Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI,MACD,Signal
2018-01-08,1246.8699951171875,17.72998046875,0.0,7.61285400390625,2.774998256138393,2.7433725362047894,73.2861212628907,20.88832781179326,[16.901280628288585]
2018-01-09,1252.699951171875,5.8299560546875,0.0,7.212140764508929,2.774998256138393,2.598971278109967,72.21428228443214,23.486186567314235,[18.218261816093715]
2018-01-10,1254.3299560546875,1.6300048828125,0.0,7.328569684709821,2.5464303152901784,2.877977708914722,74.21336389579565,25.383926020925855,[19.651394657060145]
2018-01-11,1276.6800537109375,22.35009765625,0.0,8.925005231584821,1.8492867606026786,4.826187815607451,82.83611803036703,28.364397189115607,[21.39399516347124]
2018-01-12,1305.199951171875,28.5198974609375,0.0,10.962140764508929,1.6450020926339286,6.6639068810889315,86.95182476097733,32.651374714477015,[23.645471073672397]
2018-01-16,1304.8599853515625,0.0,-0.3399658203125,10.962140764508929,1.2121407645089286,9.043620250615028,90.04343080435798,35.61090257102319,[26.03855737314256]
2018-01-17,1295.0,0.0,-9.8599853515625,10.362139020647321,1.9164254324776786,5.40701393596644,84.39210512113301,36.73724718761105,[28.17829533603626]
2018-01-18,1293.3199462890625,0.0,-1.6800537109375,9.969281877790179,2.0364292689732144,4.895471711038988,83.03782887928122,37.06703145229744,[29.9560425592885]
2018-01-19,1294.5799560546875,1.260009765625,0.0,9.784999302455358,2.0364292689732144,4.804978720124682,82.77340799660121,37.00350672414106,[31.365535392259016]
2018-01-22,1327.31005859375,32.7301025390625,0.0,12.12286376953125,0.84857177734375,14.286197223620801,93.45815060887242,39.14299260435246,[32.921026834677704]
2018-01-23,1362.5400390625,35.22998046875,0.0,13.243573869977679,0.84857177734375,15.606898819370947,93.97840613785422,43.18352280311524,[34.973526028365214]
2018-01-24,1357.510009765625,0.0,-5.030029296875,12.158578055245536,1.2078595842633928,10.066218137980323,90.96348917460877,45.455804549937966,[37.069981732679764]
2018-01-25,1377.949951171875,20.43994140625,0.0,13.233572823660714,1.2078595842633928,10.956217921416041,91.63615110921661,48.34860404153778,[39.32570619445137]
2018-01-26,1402.050048828125,24.10009765625,0.0,13.558576311383929,1.2078595842633928,11.225291820367149,91.82023615719328,51.986576059767685,[41.85788016751464]
2018-01-29,1417.6800537109375,15.6300048828125,0.0,13.408578055245536,1.2078595842633928,11.101106643470228,91.73629297334057,55.49123742014649,[44.58455161804101]
2018-01-30,1437.8199462890625,20.139892578125,0.0,14.430716378348214,1.2078595842633928,11.947346004749976,92.27640939206282,59.211277068611025,[47.50989670815502]
2018-01-31,1450.8900146484375,13.070068359375,0.0,15.24786376953125,1.2078595842633928,12.623871158691086,92.65994232951866,62.49369219429741,[50.5066558053835]
2018-02-01,1390.0,0.0,-60.8900146484375,13.65142822265625,5.557146344866071,2.4565536654020317,71.06944960787438,59.495883022303815,[52.30450124876757]
2018-02-02,1429.949951171875,39.949951171875,0.0,14.467860630580358,5.557146344866071,2.6034694306631647,72.2489667460294,59.65604706340105,[53.77481041169428]
2018-02-05,1390.0,0.0,-39.949951171875,14.467860630580358,8.386431012834821,1.7251510932884742,63.30478693593142,55.9148000270352,[54.202808334762466]
2018-02-06,1442.8399658203125,52.8399658203125,0.0,18.242143903459823,7.682146344866071,2.3746155155780038,70.36699453956253,56.56157184430026,[54.67456103667002]
2018-02-07,1416.780029296875,0.0,-26.0599365234375,18.242143903459823,9.423566545758929,1.9358004015655506,65.93773883719281,54.34487024804503,[54.60862287894503]
2018-02-08,1350.5,0.0,-66.280029296875,18.152143205915177,14.157854352678571,1.2821252962304217,56.18119646402482,46.701527683159384,[53.027203839787894]
2018-02-09,1339.5999755859375,0.0,-10.9000244140625,15.814278738839286,14.936427525111608,1.0587725018082006,51.42736756384159,39.31142511999701,[50.284048095829725]
2018-02-12,1386.22998046875,46.6300048828125,0.0,16.628566196986608,14.936427525111608,1.1132893838925084,52.680403941741254,36.79323774498039,[47.58588602565986]
2018-02-13,1414.510009765625,28.280029296875,0.0,18.648568289620535,14.577139718191964,1.279302294561087,56.12692522680215,36.65695951478938,[45.40010072348577]
2018-02-14,1451.050048828125,36.5400390625,0.0,19.798575265066965,14.577139718191964,1.3581934211935116,57.59465737573437,39.04732060421475,[44.12954469963157]
2018-02-15,1461.760009765625,10.7099609375,0.0,18.842136928013392,14.577139718191964,1.2925812122455547,56.38104357400223,41.32948277921537,[43.56953231554834]
2018-02-16,1448.68994140625,0.0,-13.070068359375,17.7257080078125,15.510716029575892,1.1428039797784353,53.33217553089482,41.603883784758864,[43.17640260939044]
2018-02-20,1468.3499755859375,19.6600341796875,0.0,17.691432407924108,15.510716029575892,1.1405941785143907,53.28399889912729,42.91307380873809,[43.12373684925998]
2018-02-21,1482.9200439453125,14.570068359375,0.0,17.798575265066965,15.510716029575892,1.1475018452487025,53.43426585581397,44.61203926577991,[43.42139733256397]
2018-02-22,1485.3399658203125,2.419921875,0.0,17.971426827566965,11.161429268973214,1.6101366943680173,61.687830290354725,45.62778045131677,[43.86267395631453]
2018-02-23,1500.0,14.6600341796875,0.0,16.165004185267858,11.161429268973214,1.4482915938197711,59.15519203168844,47.07307578250948,[44.50475432155353]
2018-02-26,1521.949951171875,21.949951171875,0.0,17.732857840401785,8.307861328125,2.1344672401271185,68.09665173085538,49.41997762228266,[45.487798981699356]
2018-02-27,1511.97998046875,0.0,-9.969970703125,13.958574567522321,9.020002092633929,1.5475134511245197,60.7460365102849,49.90020245351093,[46.37027967606168]
2018-02-28,1512.449951171875,0.469970703125,0.0,13.992143903459821,7.158578055245536,1.9545982170588903,66.15445057042528,49.74527424399889,[47.04527858964913]
2018-03-01,1493.449951171875,0.0,-19.0,13.992143903459821,3.78143310546875,3.7002225117308645,78.72441150383435,47.54132451581677,[47.14448777488266]
2018-03-02,1500.25,6.800048828125,0.0,14.477861676897321,3.0028599330357144,4.821357638969546,82.821876579,45.81525583739585,[46.87864138738531]
2018-03-05,1523.6099853515625,23.3599853515625,0.0,12.815717424665179,3.0028599330357144,4.267837231991452,81.01687740222832,45.804286264541815,[46.663770362816614]
2018-03-06,1537.6400146484375,14.030029296875,0.0,11.797860281808036,3.0028599330357144,3.9288746544635185,79.71139316569119,46.39291031787366,[46.60959835382803]
2018-03-07,1545.0,7.3599853515625,0.0,9.713570731026786,3.0028599330357144,3.2347731654626126,76.38598430358292,46.91251021314042,[46.670180725690514]
2018-03-08,1551.8599853515625,6.8599853515625,0.0,9.438572474888392,3.0028599330357144,3.143194383144788,75.86403370143172,47.33222394587392,[46.8025893697272]
2018-03-09,1578.8900146484375,27.030029296875,0.0,11.369288853236608,2.0692836216517856,5.494311526112202,84.60190897866202,49.27790258128903,[47.29765201203957]
2018-03-12,1598.3900146484375,19.5,0.0,11.357857840401786,2.0692836216517856,5.488787385914496,84.58880002493616,51.79627869073079,[48.19737734777782]
2018-03-13,1588.1800537109375,0.0,-10.2099609375,10.317138671875,2.7985665457589284,3.6865797197175993,78.66247754641294,52.3646245855557,[49.0308267953334]
2018-03-14,1591.0,2.8199462890625,0.0,10.345711844308036,2.7985665457589284,3.696789651111347,78.7088612801005,52.438114952588194,[49.712284426784365]
2018-03-15,1582.3199462890625,0.0,-8.6800537109375,9.298566545758929,3.4185703822544644,2.720016119611599,73.11839605403622,51.205681582837315,[50.01096385799496]
2018-03-16,1571.6800537109375,0.0,-10.639892578125,7.730712890625,4.178562709263393,1.8500889967468714,64.9133763492504,48.807792992522764,[49.770329684900524]
2018-03-19,1544.9300537109375,0.0,-26.75,7.730712890625,5.37713623046875,1.4377007684536713,58.977737836365414,44.238988051478145,[48.66406135821605]
2018-03-20,1586.510009765625,41.5799560546875,0.0,10.667140415736608,5.37713623046875,1.9837958270971132,66.48564251888227,43.472211580076646,[47.625691402588174]
2018-03-21,1581.8599853515625,0.0,-4.6500244140625,10.667140415736608,4.352137974330357,2.4510115439016866,71.02298884606431,42.005108846317626,[46.50157489133407]
2018-03-22,1544.9200439453125,0.0,-36.93994140625,10.181422642299108,6.990705217633929,1.456422825070159,59.29039618936782,37.430202730807196,[44.6873004592287]
2018-03-23,1495.56005859375,0.0,-49.3599853515625,8.512852260044642,10.51641845703125,0.809482077460789,44.73556757172856,29.48177087174099,[41.64619454173116]
2018-03-26,1555.8599853515625,60.2999267578125,0.0,11.817844935825892,10.51641845703125,1.1237518727608744,52.91352003847788,27.72864296430089,[38.86268422624511]
2018-03-27,1497.050048828125,0.0,-58.8099365234375,11.292131696428571,14.717128208705358,0.7672782037564326,43.4158132050487,21.347722824530592,[35.359691945902206]
2018-03-28,1431.4200439453125,0.0,-65.6300048828125,10.802132742745536,19.404985700334823,0.5566679053290491,35.760222422738295,10.869705541186477,[30.461694664959058]
2018-03-29,1447.3399658203125,15.919921875,0.0,10.008553641183036,19.404985700334823,0.5157722760398811,34.02702927034606,3.806526730404812,[25.13066107804821]
2018-04-02,1371.989990234375,0.0,-75.3499755859375,8.615696498325892,24.787126813616073,0.3475875426430269,25.793318181118124,-7.781506307466316,[18.548227600945307]
2018-04-03,1392.050048828125,20.06005859375,0.0,10.048557826450892,24.057843889508927,0.41768322517184664,29.462380435602356,-15.171538841824486,[11.804274312391346]
2018-04-04,1410.5699462890625,18.5198974609375,0.0,11.16998291015625,24.057843889508927,0.46429692375829335,31.70783986669997,-19.31118460443122,[5.581182529026832]
2018-04-05,1451.75,41.1800537109375,0.0,14.111415318080358,23.437840053013392,0.6020783180601175,37.58107898177826,-19.049407802131554,[0.6550644627951536]
2018-04-06,1405.22998046875,0.0,-46.52001953125,14.111415318080358,26.000706263950892,0.5427320002320615,35.179927566837435,-22.338223457499225,[-3.9435931212637234]
2018-04-09,1406.0799560546875,0.8499755859375,0.0,14.172127859933036,24.089991978236608,0.5882994013753274,37.03957836072417,-24.592559910462114,[-8.073386479103403]
2018-04-10,1436.219970703125,30.1400146484375,0.0,13.354989188058036,24.089991978236608,0.5543791463327679,35.66563200752593,-23.674189183301678,[-11.19354701994306]
2018-04-11,1427.050048828125,0.0,-9.169921875,13.354989188058036,24.412841796875,0.5470477095283336,35.36075236458727,-23.41638036791028,[-13.638113689536503]
2018-04-12,1448.5,21.449951171875,0.0,14.887128557477679,21.774274553571427,0.6837026198439242,40.607088911419645,-21.236432850768097,[-15.15777752178282]
2018-04-13,1430.7900390625,0.0,-17.7099609375,14.887128557477679,19.513558523995535,0.7629120305848468,43.27567214637195,-20.699246547727853,[-16.26607132697183]
2018-04-16,1441.5,10.7099609375,0.0,11.344988141741071,19.513558523995535,0.581390018011851,36.76449271779165,-19.18812938027213,[-16.850482937631888]
