Date,Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI,MACD,Signal
1999-01-22,1.508857250213623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0.0]
1999-01-25,1.6669281721115112,0.15807092189788818,0.0,0.0,0.0,0.0,0.0,0.0035464629912989043,[0.00197025721738828]
1999-01-26,1.537597417831421,0.0,-0.12933075428009033,0.0,0.0,0.0,0.0,0.0005083588256433735,[0.0013711185322469249]
1999-01-27,1.5328068733215332,0.0,-0.004790544509887695,0.0,0.0,0.0,0.0,-0.0010588498759083187,[0.0005479585023840376]
1999-01-28,1.5280174016952517,0.0,-0.004789471626281516,0.0,0.0,0.0,0.0,-0.0020787402859709925,[-0.00023342500200525013]
1999-02-05,1.5184373855590818,0.0,-0.009580016136169878,0.0,0.0,0.0,0.0,-0.003062406428628206,[-0.0010002362569446843]
1999-02-11,1.5136468410491943,0.0,-0.004790544509887473,0.0,0.0,0.0,0.0,-0.0038575119629362664,[-0.0017233365129515267]
1999-02-12,1.5998674631118774,0.0862206220626831,0.0,0.0,0.0,0.0,0.0,-0.00022799468667389355,[-0.0013639777521877359]
1999-02-16,1.6094474792480469,0.009580016136169434,0.0,0.0,0.0,0.0,0.0,0.0027641462872516342,[-0.00041036061934827554]
1999-02-17,1.5232272148132324,0.0,-0.08622026443481445,0.0,0.0,0.0,0.0,0.00040532636029078084,[-0.0002275993853449412]
1999-02-18,1.5471771955490112,0.02394998073577881,0.0,0.0,0.0,0.0,0.0,-2.8929809219979674e-05,[-0.00018413161727405774]
1999-02-19,1.5998674631118774,0.05269026756286621,0.0,0.0,0.0,0.0,0.0,0.0025474159284741837,[0.00040249023887183743]
1999-02-22,1.6094474792480469,0.009580016136169434,0.0,0.0,0.0,0.0,0.0,0.004965468769487336,[0.0013681750276990326]
1999-02-23,1.6860880851745603,0.07664060592651345,0.0,0.0,0.0,0.0,0.0,0.01115271852503108,[0.0034151088277428786]
1999-02-24,1.8202087879180908,0.1341207027435305,0.0,0.0,0.0,0.0,0.0,0.0236354753643242,[0.0076066592030946]
1999-02-25,1.7627286911010742,0.0,-0.0574800968170166,0.028055872235979353,0.021212978022439138,1.3225805545219433,56.94444276418951,0.029324093080712377,[0.012075945195685946]
1999-02-26,1.681298017501831,0.0,-0.08143067359924316,0.028055872235979353,0.017791543688092912,1.5769217515822362,61.19400989238429,0.028259246759817946,[0.0153871676086379]
1999-03-01,1.6908777952194214,0.009579777717590332,0.0,0.02874014207295009,0.017449361937386648,1.6470597707857757,62.22223574108599,0.027700833640842415,[0.01789507933636875]
1999-03-02,1.6765081882476809,0.0,-0.0143696069717405,0.02874014207295009,0.01813365731920515,1.584905988187597,61.31387351920104,0.02601296355792515,[0.019542396523301572]
1999-03-03,1.5615472793579102,0.0,-0.11496090888977073,0.02874014207295009,0.02566086394446235,1.1199990045211339,52.830166529918706,0.016904484889844973,[0.01900866064084359]
1999-03-04,1.5280174016952517,0.0,-0.03352987766265847,0.02874014207295009,0.027713673455374566,1.037038345682624,50.909122446347766,0.007446106134552766,[0.01667462203315836]
1999-03-05,1.6142375469207764,0.08622014522552468,0.0,0.02874010801315306,0.027713673455374566,1.037037116693725,50.90909282875118,0.005817932061128017,[0.014487143294569321]
1999-03-08,1.6381876468658447,0.02395009994506836,0.0,0.029766542570931556,0.027713673455374566,1.0740742333874498,51.785717989140366,0.006113354739582633,[0.012802440855658079]
1999-03-09,1.6908777952194214,0.05269014835357666,0.0,0.03353012459618703,0.021555083138602105,1.5555553360932912,60.86956185700473,0.009892930308942338,[0.012217777752874578]
1999-03-10,1.662137746810913,0.0,-0.0287400484085083,0.031819411686488545,0.023607943739209842,1.3478264790016625,57.4074145196106,0.010718146442913135,[0.011916714104576743]
1999-03-11,1.590287446975708,0.0,-0.07185029983520508,0.028055821146283817,0.02874010801315306,0.9761905255694907,49.3975916258467,0.0061898493808738575,[0.01076786898852734]
1999-03-12,1.5615472793579102,0.0,-0.02874016761779785,0.02737153427941457,0.03079297712871005,0.8888888581641731,47.0588226682692,0.0005521748337062871,[0.008719778177839217]
1999-03-15,1.6286077499389648,0.06706047058105469,0.0,0.026687238897596086,0.03079297712871005,0.866666408579054,46.428564021719275,0.0009450103428538803,[0.007161811064170429]
1999-03-16,1.5759174823760986,0.0,-0.05269026756286621,0.01710718870162962,0.03455656766891478,0.495048838922111,33.112552983822766,-0.0025577365551412434,[0.005214888824065093]
1999-03-17,1.585497498512268,0.009580016136169434,0.0,0.017791475568498867,0.030450846467699307,0.5842686700801947,36.87939306725161,-0.0045667154267514665,[0.003256143164222686]
1999-03-18,1.604657530784607,0.019160032272338867,0.0,0.01916004930223736,0.024634369782039083,0.7777771248772497,43.749979341811645,-0.004681564973719077,[0.001667027752958615]
1999-03-19,1.6094474792480469,0.004789948463439941,0.0,0.018817918641226616,0.024634369782039083,0.7638887784718876,43.30708306527515,-0.0043645554374307505,[0.0004597546145566579]
1999-03-22,1.5615472793579102,0.0,-0.04790019989013672,0.018817918641226616,0.0270294121333531,0.696201550680643,41.044742023804595,-0.007613424866761642,[-0.001155905327854883]
