Date,Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
2018-08-31,55.48737716674805,0.6337776184082031,0.0,0.3941969190325051,0.044225147792271206,8.913411005070627,89.91265469081723
2018-09-04,55.66532516479492,0.177947998046875,0.0,0.38357625688825336,0.044225147792271206,8.673261165568952,89.6622247359618
2018-09-05,55.30212783813477,0.0,-0.36319732666014914,0.3682528904506133,0.07016781398228186,5.248173906965396,83.9953238355736
2018-09-06,54.38314437866211,0.0,-0.9189834594726634,0.35972186497279574,0.13580948965890066,2.648724075734868,72.59315916349207
2018-09-07,53.944374084472656,0.0,-0.4387702941894531,0.3060940333775112,0.16715022495814733,1.8312511003449379,64.67992542667206
2018-09-10,53.22039794921875,0.0,-0.7239761352539062,0.2319216047014509,0.21886280604771205,1.059666596118173,51.448452779460176
2018-09-11,54.56597137451172,1.3455734252929688,0.0,0.3280339922223772,0.1819507053920201,1.8028728798583924,64.32232060233419
2018-09-12,53.88830947875977,0.0,-0.677661895751946,0.3280339922223772,0.22304207938057985,1.470726928001098,59.52608162938371
2018-09-13,55.18999099731445,1.3016815185546804,0.0,0.4208368573869973,0.22304207938057985,1.886804761485914,65.35962482321548
2018-09-14,54.56352615356445,0.0,-0.62646484375,0.4131755828857417,0.26778956821986555,1.5429114197103773,60.67499668887821
2018-09-17,53.11071014404297,0.0,-1.4528160095214844,0.4015099661690843,0.371562140328543,1.080599777507097,51.93693612722743
2018-09-18,53.198463439941406,0.0877532958984375,0.0,0.3767860957554398,0.371562140328543,1.0140594394850824,50.349032387263534
2018-09-19,53.23014450073242,0.031681060791015625,0.0,0.3484044756208137,0.371562140328543,0.9376748538286145,48.391754270634245
2018-09-20,53.63479995727539,0.40465545654296875,0.0,0.32019833156040683,0.371562140328543,0.8617625339257675,46.287457085551594
2018-09-21,53.05708312988281,0.0,-0.5777168273925781,0.2845050266810821,0.41282762799944145,0.6891617890493197,40.799039708161295
2018-09-24,53.82005310058594,0.762969970703125,0.0,0.2937330518450051,0.41282762799944145,0.7115150051086273,41.57223296230865
2018-09-25,54.16131973266602,0.34126663208008523,0.0,0.3053986685616629,0.41282762799944145,0.7397728442779419,42.52123182121341
2018-09-26,53.7298583984375,0.0,-0.43146133422852273,0.3053986685616629,0.41770362854003956,0.7311372171438738,42.234503995595716
2018-09-27,54.83409881591797,1.1042404174804688,0.0,0.38427298409598215,0.35206195286342074,1.0914925085502136,52.18725403452759
2018-09-28,55.02667236328125,0.19257354736328125,0.0,0.3980282374790737,0.3207212175641741,1.2410411774501042,55.37788372376909
2018-10-01,55.39718627929688,0.3705139160156321,0.0,0.424493517194476,0.2690086364746094,1.5779921520643898,61.210122412543974
